GEOID,State,2005,2006,2007,2008,2009,010,011,012,2013
04000US01,Alabama,37150,37952,42212,44476,9980,0933,2590,43464,41381
04000US02,Alaska,55891,56418,62993,63989,1604,7848,7431,63648,61137
04000US04,Arizona,45245,46657,62993,46914,5739,6896,8621,47044,50602
04000US05,Arkansas,36658,37057,40795,39586,6538,8587,1302,39018,39919
04000US06,California,51755,55319,55734,57014,6134,4283,3367,57020,57528
